State,County,Year,EV_Count,Population,Charging_Station_Sites,Charging_Ports,DC_Fast_Ports,Level2_Ports,EV_per_Station,EV_per_Port,Stations_per_10k_People,Ports_per_10k_People,EV_per_10k_People
CO,CUSTER,2024,723.0,5567.0,3.0,4.0,1.0,3.0,241.0,180.75,5.388898868331237,7.185198491108317,1298.7246272678283
CO,DELTA,2020,808.0,31062.0,4.0,5.0,2.0,3.0,202.0,161.6,1.287747086472217,1.609683858090271,260.1249114673878
CO,DELTA,2021,989.0,31414.0,4.0,5.0,2.0,3.0,247.25,197.8,1.2733176290825745,1.5916470363532182,314.82778379066656
CO,DELTA,2022,1440.0,31575.0,4.0,5.0,2.0,3.0,360.0,288.0,1.2668250197941409,1.5835312747426762,456.0570071258908
CO,DELTA,2023,1974.0,31786.0,4.0,5.0,2.0,3.0,493.5,394.8,1.2584156546907443,1.5730195683634303,621.0281255898823
CO,DELTA,2024,2861.0,32294.0,11.0,16.0,7.0,9.0,260.09090909090907,178.8125,3.4062054870873846,4.954480708490741,885.9230816870006
CO,DENVER,2020,60926.0,717680.0,99.0,297.0,20.0,277.0,615.4141414141415,205.13804713804714,1.379444877940029,4.1383346338200875,848.9298851855981
CO,DENVER,2021,87112.0,712156.0,162.0,462.0,50.0,412.0,537.7283950617284,188.55411255411255,2.2747824914765866,6.4873426608776725,1223.2151382562247
CO,DENVER,2022,134329.0,716800.0,212.0,579.0,61.0,518.0,633.627358490566,232.00172711571676,2.957589285714286,8.077566964285715,1874.0094866071427
CO,DENVER,2023,254444.0,726763.0,251.0,748.0,95.0,653.0,1013.7211155378486,340.16577540106954,3.4536705913757304,10.292213555175485,3501.0588045896666
CO,DENVER,2024,388951.0,741591.0,332.0,959.0,127.0,832.0,1171.539156626506,405.5797705943691,4.476861234831599,12.931656398203323,5244.8182353885095
CO,DOLORES,2020,46.0,2331.0,1.0,2.0,0.0,2.0,46.0,23.0,4.29000429000429,8.58000858000858,197.34019734019734
CO,DOLORES,2021,63.0,2375.0,1.0,2.0,0.0,2.0,63.0,31.5,4.210526315789474,8.421052631578949,265.2631578947368
CO,DOLORES,2022,72.0,2458.0,1.0,2.0,0.0,2.0,72.0,36.0,4.068348250610252,8.136696501220504,292.9210740439382
CO,DOLORES,2023,129.0,2521.0,1.0,2.0,0.0,2.0,129.0,64.5,3.9666798889329633,7.933359777865927,511.70170567235226
CO,DOLORES,2024,212.0,2452.0,1.0,2.0,0.0,2.0,212.0,106.0,4.078303425774878,8.156606851549755,864.600326264274
CO,DOUGLAS,2020,32839.0,360315.0,12.0,49.0,14.0,35.0,2736.5833333333335,670.1836734693877,0.33304192165188795,1.3599211800785422,911.3969720938624
CO,DOUGLAS,2021,54908.0,369831.0,29.0,90.0,25.0,65.0,1893.3793103448277,610.0888888888888,0.7841419459158372,2.4335439700836328,1484.678136770579
CO,DOUGLAS,2022,86093.0,376188.0,33.0,100.0,25.0,75.0,2608.878787878788,860.93,0.877220963986092,2.6582453454124,2288.5631652258976
